,u,g,r,i,z,redshift,class
28893,0.5977766516289069,0.5548041986273718,0.5434645127872245,0.447275523566589,0.48684785053486584,0.07709799736593109,0
36745,0.38901940587078543,0.33778319222291087,0.34824319650993757,0.3002212859834523,0.32114795876692037,0.014218303743211312,0
3546,0.46747694301992726,0.4038297880405837,0.39237784300491285,0.31223104252123385,0.3224554023899261,0.001400980252783339,1
4403,0.4340528139338889,0.3867648090128714,0.393226459623115,0.335401915535878,0.3593131738171189,0.0014231512709350308,1
7393,0.5682836389542238,0.5053444743281381,0.5268886403349099,0.45938143578694846,0.5060912963857351,0.0014387827805204493,1
30690,0.5376237769197012,0.5964564130848881,0.6289945361444349,0.5296544786692514,0.5988257183719904,0.1381029885689737,0
34142,0.42838978460566723,0.36805322582785094,0.36645959273491013,0.31445320916723574,0.335813075923226,0.02674761407524786,0
39242,0.5429572240919964,0.5239390183111859,0.5646925866047183,0.4840987391828718,0.5344554891819282,0.09237841390465866,2
39992,0.4218812255682307,0.45730864801241855,0.5143588868539868,0.4633780717495179,0.5342288993393339,0.1746597348894681,2
22542,0.5918037783518688,0.5536001637601142,0.5425201989489508,0.44461712770008366,0.4709137291038519,0.08862360829116518,0
37083,0.5017498150116867,0.4361856781924219,0.42740353188565555,0.3620595347467602,0.38972274456744527,0.04193874408159523,0
37646,0.458988136878499,0.4213572377611112,0.40809193414208444,0.34566454978608235,0.3691313926216784,0.037352543980757345,0
25040,0.5372147829072633,0.5760134078593482,0.5669346357606841,0.46192206299635136,0.5006470707926856,0.08441973514442111,0
45934,0.4869323888371717,0.5335916724949346,0.6017669048632922,0.5258510362340637,0.6165877319707191,0.2113599321517608,2
35429,0.5227632021063879,0.48948353016768353,0.4671274985708709,0.3908105249187232,0.417664610313267,0.05436676283768112,0
8347,0.5283734432062926,0.5165484902416789,0.5843019090329569,0.5147953381431466,0.593076506897056,0.0013443730470158197,1
5702,0.457803385423839,0.3718411261540444,0.36652187187813134,0.3082891006166446,0.3299981129314671,0.0013987839664518313,1
7120,0.41991015902568535,0.33620482144650976,0.3289057757069821,0.27892015580572793,0.2982694655974661,0.0014330936061816317,1
23404,0.5493891254413553,0.6287492821279718,0.6816933243340815,0.5321373242528847,0.5177748351445095,0.1548376689395318,0
27383,0.5523328724691486,0.49957827979855984,0.47554379059220375,0.3999585471970245,0.43364576936785526,0.055326197830065885,0
371,0.6737705851139032,0.5252160249885804,0.5465227731535374,0.4642655269483578,0.5059087094813233,0.0014207201145926573,1
36556,0.3288164971016967,0.3138650230003354,0.349777896372569,0.3082908649410957,0.33962211187094576,0.011844092382869688,0
41178,0.5709014760506692,0.5394417372218779,0.5986271246428442,0.5433103499197918,0.5955786050026688,0.44330452369225026,2
6259,0.6216493245860943,0.6538975475785679,0.6168404828608304,0.44066548201101413,0.4177455352570507,0.001403915015220113,1
15562,0.489607145414585,0.47659310729130533,0.534937333510888,0.474027975216711,0.523904899636126,0.00138555147162381,1
44079,0.4776329391200248,0.5117612551909493,0.564268784630115,0.49723545796371305,0.540060553100748,0.20505731988363377,2
5942,0.3886205104759386,0.3511574087236378,0.37826781955656236,0.3351231522726241,0.3709284321545756,0.0013943514861697811,1
39244,0.5020913318974936,0.5066778683133656,0.575037000393422,0.5050902304194501,0.5624160688209999,0.08532868030472936,2
29654,0.6357538801642952,0.5822742944005034,0.5746775029000308,0.4587127568200293,0.5035861635947306,0.09602507585243784,0
43510,0.49468445492252516,0.5156770931063437,0.5816401085783696,0.5231661755007936,0.5823964374411998,0.2980990424261241,2
50355,0.4619888033872599,0.48054116652546147,0.5476843044913389,0.49215332138268175,0.5364411849900212,0.1120614583451735,2
25755,0.45081789621926116,0.394064359241169,0.4035556833768866,0.34943005924557397,0.37806297751090756,0.024533382133467514,0
17032,0.2812198762827539,0.25579130820449547,0.2798941153298338,0.24934125638514532,0.2728039031314261,0.0013519036517583162,1
43622,0.4636275336054452,0.4928264919892116,0.5572823812303827,0.489001796832129,0.5473149685300597,0.22660230684522,2
7334,0.6162474822310232,0.5458424074253081,0.599320296570242,0.5307642387489141,0.5977752114454981,0.0014616260042023292,1
28640,0.6424024427637897,0.5353894325446693,0.5453354187563513,0.4507627108439395,0.48986887984249183,0.08605607570777957,0
43196,0.5030112241544243,0.5300544350749904,0.6054469439928223,0.5269744698282215,0.6063522439247748,0.26383275416342516,2
24491,0.33112586733354255,0.31156025102302687,0.34873130296575305,0.30647978589217056,0.33787615620881206,0.011091959098484134,0
49478,0.5323022644772863,0.5429912945578192,0.6193772186944771,0.5377439062769681,0.5979254283723965,0.27572983922130245,2
40269,0.5340231607204169,0.529483454352816,0.5588297394554576,0.4855419565837687,0.5393049164381675,0.9543136096064316,2
46063,0.5592270150873345,0.560713019876763,0.6222177552267644,0.5451950895145449,0.600960113764286,0.317361091395172,2
10431,0.5239543799540605,0.5156813576926504,0.5609117869101393,0.4982464158741212,0.5528896855949604,0.001268765328185154,1
3651,0.24879367422594084,0.22642062846734562,0.2724925176419597,0.2535262339828561,0.28532248615386857,0.0014020224512211956,1
23795,0.5618636723347452,0.5805537707472124,0.6229251045200986,0.5472350896609839,0.6373115985119319,0.11409805723035056,0
3684,0.32865996852903534,0.32025384713069155,0.36090611596376465,0.3235796184710126,0.361862309546306,0.0013914543952720318,1
32294,0.6697499582284453,0.6121970011429092,0.5836649402348074,0.4748408877074973,0.5095538724178811,0.08783126686998548,0
19542,0.3496109278059008,0.33758228282357317,0.3724302891321882,0.3293286696945121,0.3571797899866206,0.004756752759635749,0
29513,0.2974928804745983,0.28716539581994727,0.3218510171500558,0.28978971766706735,0.32071804500306933,0.002981295261785326,0
34588,0.7057864160740613,0.5601164516367482,0.5821353037171535,0.5243756199119364,0.571540356232614,0.05133932414214218,0
35249,0.3299131151664711,0.31068980157353754,0.3423028801825235,0.2994141075471316,0.3270038900114697,0.012126836866753091,0
13788,0.37850031856548216,0.3659924829558701,0.41017651326925497,0.36813057518256237,0.41376402802289197,0.0014411633369358517,1
42897,0.421240422379271,0.452463130282164,0.5054008169200785,0.4570190053470941,0.5203780894298519,0.19125856983877204,2
6903,0.41746950676515565,0.4096400499619979,0.45549648882342547,0.40718830771600395,0.4580259260253962,0.001368471765531939,1
35416,0.560216220583186,0.6085555182799124,0.6322188742260044,0.5592404353876378,0.582417680238943,0.12478164872755504,0
7532,0.561860459138239,0.5326653095805353,0.5288876489319633,0.4442210368608399,0.4775652537019747,0.0013748579530707644,1
45557,0.4563216428063875,0.4955311873935038,0.5517982722854268,0.49161167377623266,0.5447066564357307,0.20351043676322952,2
23703,0.5566165224400462,0.530935782911708,0.5350239167100005,0.44154808531761397,0.4748031842144569,0.06925455506022986,0
25405,0.4805693416986608,0.43743994040951395,0.42782530852226774,0.36218480178277934,0.38778408638292666,0.030649872786481375,0
34370,0.7160218240306704,0.5723510759077409,0.5653351250823426,0.4643039010051666,0.5137816949496817,0.08202043553606742,0
21537,0.5087063854477083,0.5320767966702111,0.5348137878934409,0.4314442402679974,0.4601613329794891,0.0764938427293007,0
27354,0.3505491811857245,0.3349515069152636,0.3765472949332626,0.33604501179825824,0.5287143702013721,0.005809170225564018,0
14372,0.5473671067827823,0.5376994167941304,0.6037694578018299,0.5419699044181641,0.5747834233547466,0.00142924828490388,1
51622,0.5534841148745292,0.5364735851524163,0.599091939711764,0.5325850215823196,0.5686068270204543,0.30900940376996405,2
51066,0.3811121882969874,0.41111986141042184,0.4728703444441687,0.41664067596209836,0.47249985800201266,0.25361842613230184,2
33086,0.6263392144009958,0.5567749113439892,0.5401814399039179,0.4422551383413419,0.47917920054956126,0.07816893726531932,0
41494,0.49838972952229854,0.5440593365061855,0.6089254619922542,0.5203123807013429,0.6252967732645431,0.26037124533750633,2
43479,0.38138990028074155,0.4111018553793491,0.46196035502149635,0.42242236718794085,0.4897646889773703,0.15189743736438913,2
9461,0.35598958189887053,0.34902416788444296,0.3943216611417133,0.35407684876832735,0.39490194096960335,0.0013186353673075401,1
56107,0.5032673618187794,0.4968721628654988,0.5456711185283489,0.4871911588643168,0.5285808440441291,0.3397035186100629,2
9840,0.35592669505296265,0.33345511096453573,0.3657031289952957,0.326016150537808,0.36366086642189915,0.0014104078196235247,1
7121,0.619761342124639,0.492764418566303,0.5210764266354223,0.45622241285747916,0.5060498223520461,0.001428599175089262,1
43899,0.4883677696193188,0.40782712693872836,0.4530665895688005,0.4079518191221631,0.4613489065295151,0.44075895311762686,2
7464,0.3597852850288911,0.35356405692938414,0.39512015064463984,0.3534518368315697,0.39821278273215455,0.001433309974695583,1
54552,0.5533643085476534,0.5594435946861359,0.6075072190641014,0.5333410346095618,0.5956822900868917,0.17752134760055932,2
22205,0.5235853213839144,0.4460809399527295,0.4248364159821445,0.3568812424831509,0.38115380458254694,0.04611890338619334,0
39836,0.5166374724812669,0.5303832820635291,0.597965345454306,0.5286527834622108,0.5677733000994821,0.13401205882656447,2
